len,time
7580,45935
7590,50176
7600,49064
7610,45667
7620,52598
7630,49788
7640,49985
7650,47927
7660,47514
7670,52828
7680,46521
7690,46441
7700,46686
7710,49148
7720,46748
7730,51001
7740,57892
7750,57021
7760,49031
7770,46274
7780,46486
7790,46495
7800,50058
7810,52430
7820,49215
7830,58120
7840,52880
7850,51474
7860,52180
7870,51399
7880,50521
7890,53020
7900,51747
7910,46995
7920,53783
7930,50200
7940,52080
7950,51748
7960,51009
7970,55408
7980,48267
7990,50450
8000,49733
8010,50337
8020,49304
8030,51554
8040,59412
8050,53854
8060,48850
8070,49216
8080,49363
8090,49342
8100,51080
8110,54633
8120,53676
8130,61098
8140,53158
8150,52830
8160,54702
8170,54831
8180,55065
8190,57428
8200,58394
8210,57224
8220,61333
8230,59818
8240,55704
8250,56289
8260,58310
8270,52647
8280,50828
8290,51865
8300,53386
8310,52589
8320,58284
8330,62354
8340,58159
8350,55749
8360,58356
8370,55067
8380,56791
8390,55168
8400,54808
8410,62091
8420,57097
8430,56967
8440,53033
8450,55506
8460,60898
8470,61065
8480,62686
8490,59481
8500,57924
8510,63440
8520,56621
8530,68344
8540,68112
8550,64932
8560,64715
8570,56959
8580,59138
8590,58448
8600,61393
8610,56353
8620,55913
8630,55663
8640,56132
8650,72053
8660,59545
8670,66679
8680,56919
8690,57072
8700,56892
8710,60937
8720,66906
8730,61586
8740,65934
8750,62446
8760,64316
8770,65345
8780,65480
8790,65631
8800,64305
8810,58934
8820,61295
8830,60124
8840,63219
8850,64101
8860,69508
8870,59901
8880,60558
8890,58470
8900,60091
8910,70078
8920,75642
8930,68467
8940,59413
8950,60766
8960,60508
8970,62979
8980,76865
8990,70532
9000,61503
9010,67215
9020,67401
9030,75170
9040,77710
9050,70772
9060,64543
9070,65685
9080,64293
9090,67921
9100,67614
9110,77671
9120,65146
9130,69618
9140,74298
9150,74933
9160,76659
9170,71142
9180,70375
9190,79083
9200,69431
9210,74061
9220,76378
9230,76511
9240,78148
9250,77914
9260,76952
