len,time
8630,1556
8640,1533
8650,1532
8660,1554
8670,1620
8680,1646
8690,1622
8700,1582
8710,1637
8720,1625
8730,1576
8740,1608
8750,1583
8760,1545
8770,1646
8780,1577
8790,1671
8800,1640
8810,1623
8820,1564
8830,1631
8840,1593
8850,1538
8860,1619
8870,1618
8880,1635
8890,1648
8900,1693
8910,1618
8920,1661
8930,1652
8940,1635
8950,1653
8960,1641
8970,1679
8980,1595
8990,1634
9000,1643
9010,1682
9020,1575
9030,1661
9040,1610
9050,1622
9060,1689
9070,1612
9080,1655
9090,1654
9100,1598
9110,1705
9120,1567
9130,1568
9140,1591
9150,1530
9160,1611
9170,1627
9180,1734
9190,1679
9200,1635
9210,1806
9220,1715
9230,1599
9240,1676
9250,1776
9260,1613
9270,1597
9280,1649
9290,1560
9300,1589
9310,1739
9320,1753
9330,1666
9340,1618
9350,1756
9360,1725
9370,1735
9380,1650
9390,1613
9400,1579
9410,1557
9420,1568
9430,1542
9440,1579
9450,1592
9460,1692
9470,1784
9480,1701
9490,1729
9500,1742
9510,1680
9520,1785
9530,1778
9540,1773
9550,1708
9560,1703
9570,1732
9580,1692
9590,1682
9600,1713
9610,1815
9620,1840
9630,1799
9640,1786
9650,1814
9660,1816
9670,1692
9680,1766
9690,1755
9700,1705
9710,1669
9720,1770
9730,1747
9740,1746
9750,1755
9760,1747
9770,1808
9780,1705
9790,1799
9800,1802
9810,1641
9820,1665
9830,1673
9840,1727
9850,1792
9860,1747
9870,1748
9880,1748
9890,1722
9900,1844
9910,1856
9920,1951
9930,1748
9940,1665
9950,1667
9960,1872
9970,1916
9980,1799
9990,1796
10000,1761
10010,1801
10020,1874
10030,1905
10040,1864
10050,1835
10060,1853
10070,1854
10080,1912
10090,1898
10100,1813
10110,1965
10120,1925
10130,1823
10140,1885
10150,1887
10160,1805
10170,1781
10180,1855
10190,1853
10200,2023
10210,1942
10220,1980
10230,1953
10240,1863
10250,1911
10260,1846
10270,1755
10280,1752
10290,1928
10300,1924
10310,1988
10320,1895
10330,1898
10340,1892
10350,1923
10360,1847
10370,1918
10380,1825
10390,1817
10400,1747
10410,1826
10420,1931
10430,1905
10440,1854
10450,1873
10460,1929
10470,1986
10480,2005
10490,1995
10500,1985
10510,1972
10520,2008
10530,2089
10540,2037
10550,2057
10560,2060
10570,2030
10580,2053
10590,2020
10600,2002
10610,1959
10620,2078
10630,2060
10640,2014
10650,1988
10660,1942
10670,1982
10680,2077
10690,2070
10700,2020
10710,2049
10720,2088
10730,1970
10740,2035
10750,2016
10760,1895
10770,1819
10780,1859
10790,1988
10800,1861
10810,2032
10820,1964
10830,1890
10840,1826
10850,1859
10860,1965
10870,1969
10880,1891
10890,2063
