len,time
11670,4288
11680,4323
11690,4341
11700,4275
11710,4457
11720,4162
11730,4178
11740,3905
11750,3950
11760,3867
11770,3996
11780,3860
11790,4167
11800,4427
11810,4188
11820,4479
11830,4364
11840,4252
11850,4100
11860,4066
11870,4416
11880,4182
11890,4184
11900,4533
11910,4601
11920,4624
11930,4505
11940,4473
11950,4395
11960,4247
11970,4318
11980,4235
11990,4201
